Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
B2 1436+37B,3FGL J2036.8-2830,CGRABS J1438+3710,FSRQ,37.1752014160156,219.740203857422,2.4,1.17884816491776e-11,2.29086765276777e+46,4.7828002512741466e+17,0.0,0.0,6.634461032949027e-15,0.0,0.0,0.00037390717119639596,0.51754057359055,8360000000000000.0,0.196,19.7,1.89e+18,1.04e+43,1070000.0,471.0,2.72,0.0,0.0,2.2950034318479738e+45,0.0,0,1.0
MG2 J043337+2905,3FGL J2036.8-2830,CGRABS J0433+2905,IBL,29.0974998474121,68.4106979370117,0.97,2.9497553705182294e-11,3.9810717055349855e+45,2.0056904279536746e+17,0.0,0.0,6.3392376954600515e-15,0.0,0.0,0.0002582379858031333,0.9996614092233236,1.22e+17,0.0372,12.1,0.0,2.62e+43,99900.0,27.1,1.91,0.0,0.0,3.2512569331695045e+46,0.0,0,1.0
OJ 014,3FGL J2036.8-2830,CGRABS J0811+0146,LBL,1.77559995651245,122.861000061035,1.15,3.43318255768832e-11,3.019951720401995e+45,1.7279794456216272e+17,0.0,0.0,6.286591071835331e-15,0.0,0.0,0.0005041055957231395,0.2812595661175134,2.58e+17,0.0329,6.77,0.0,1.71e+44,53500.0,25.6,1.68,0.0,0.0,1.1104425899953214e+47,0.0,0,1.0
PKS 1144-379,3FGL J2036.8-2830,CGRABS J1147-3812,LBL,-38.2005996704102,176.759994506836,1.05,2.5232763795068897e-11,4.265795188015952e+45,2.0674039795830182e+17,0.0,0.0,6.262651069314126e-15,0.0,0.0,0.0004513251045240275,0.3553767756387378,1.59e+17,0.145,7.38,0.0,1.27e+44,42800.0,17.5,1.75,0.0,0.0,1.0997746906672831e+46,0.0,0,1.0
S4 1030+61,3FGL J2036.8-2830,CGRABS J1033+6051,FSRQ,60.849300384521506,158.484893798828,1.4,4.1719322441125e-11,4.570881896148714e+45,2.1291175312123622e+17,0.0,0.0,6.005938698971357e-15,0.0,0.0,0.00038534155133561896,0.47275713019820026,6.04e+16,0.313,10.4,6.84e+17,6.14e+43,32700.0,12.9,1.7,0.0,0.0,3.987203217877938e+45,0.0,0,1.0
PKS 0149+21,3FGL J2036.8-2830,CGRABS J0152+2207,FSRQ,22.1133003234863,28.0727005004883,1.32,7.35096272047597e-12,2.5703957827688437e+45,1.6045523423629395e+17,0.0,0.0,5.935797097240341e-15,0.0,0.0,0.00019160153201166303,1.1573573152985712,3870000000000000.0,0.96,27.2,3.97e+17,1.11e+42,6200.0,130.0,2.61,0.0,0.0,4.3558506319178355e+44,0.0,0,1.0
S3 0458-02,3FGL J2036.8-2830,CGRABS J0501-0159,FSRQ,-1.97490000724792,75.3022994995117,2.29,4.4213698674466797e-11,6.025595860743593e+46,7.714193953667978e+17,0.0,0.0,4.275378549896059e-15,0.0,0.0,0.00022613157804944218,0.5674237137510141,2.24e+16,0.39,20.9,3.03e+18,1.36e+43,2250000.0,505.0,2.87,0.0,0.0,9.490495954094182e+44,0.0,0,1.0
PKS 1424-41,3FGL J2036.8-2830,CGRABS J1427-4206,FSRQ,-42.1059989929199,216.986602783203,1.55,3.53605589253903e-10,1e+47,9.966738588139028e+17,0.0,0.0,3.775389021447263e-15,0.0,0.0,0.00016383090670297334,0.7741216024603151,2.42e+16,0.347,22.1,2.61e+18,1.67e+43,26500.0,227.0,2.11,0.0,0.0,3.685245895371265e+44,0.0,0,1.0
PKS 0420-01,3FGL J2036.8-2830,CGRABS J0423-0120,FSRQ,-1.3342000246048,65.8259963989258,0.92,4.1708591441702593e-11,1.5135612484362073e+46,3.857096976833989e+17,0.0,0.0,3.639144506745754e-15,0.0,0.0,0.00014247513228260399,0.904894567598638,5.64e+16,0.664,17.6,1.04e+18,6.09e+42,27200.0,295.0,2.66,0.0,0.0,9.378152543702305e+44,0.0,0,1.0
OC 457,3FGL J2036.8-2830,CGRABS J0136+4751,FSRQ,47.8637008666992,24.2602996826172,0.86,4.4538560339813e-11,6.456542290346589e+45,2.530255616803097e+17,0.0,0.0,3.163354052942542e-15,0.0,0.0,0.00010649085266694763,1.0901092044571434,1.32e+16,0.679,22.7,7.32e+17,2.59e+42,13100.0,199.0,2.28,0.0,0.0,2.5899999999999993e+44,0.0,0,1.0
S4 0917+44,3FGL J2036.8-2830,CGRABS J0920+4441,FSRQ,44.6990013122559,140.229095458984,2.19,3.61106179680437e-11,7.079457843841402e+46,8.331329469961417e+17,0.0,0.0,3.0082171070186098e-15,0.0,0.0,0.00021644261647348046,0.33320642883811485,1.48e+17,0.147,11.9,1.95e+18,1.92e+44,17700.0,288.0,1.74,0.0,0.0,3.669029711943245e+45,0.0,0,1.0
TXS 1920-211,3FGL J2036.8-2830,CGRABS J1923-2104,FSRQ,-21.0709991455078,290.876312255859,0.87,2.4989120148144498e-11,1e+46,3.147391133096535e+17,0.0,0.0,2.864564558919114e-15,0.0,0.0,0.00016380040911110802,0.5437285782945631,8.81e+16,0.36,10.3,1.16e+18,3.21e+43,20100.0,104.0,1.68,0.0,0.0,2.084515037359639e+45,0.0,0,1.0
PKS 0302-623,3FGL J2036.8-2830,CGRABS J0303-6211,FSRQ,-62.1898994445801,45.9244995117188,1.35,1.12481777364559e-11,2.511886431509572e+46,4.967940906162178e+17,0.0,0.0,2.683191058775319e-15,0.0,0.0,0.00012154076724002102,0.771587652861427,1.73e+16,0.683,20.3,1.6e+18,7.73e+42,25100.0,13.7,2.4,0.0,0.0,5.019720012084113e+44,0.0,0,1.0
PKS 1124-186,3FGL J2036.8-2830,CGRABS J1127-1857,FSRQ,-18.9640007019043,171.763397216797,1.05,8.16976555850779e-11,1.2882495516931323e+46,3.5793859945019424e+17,0.0,0.0,2.6716310010267465e-15,0.0,0.0,6.345670155117618e-05,1.3433589717065053,4.95e+16,0.482,18.7,6.13e+17,4.79e+42,466000.0,225.0,2.49,0.0,0.0,6.387567660062323e+43,0.0,0,1.0
